sample_id,left_char,right_char,left_font,right_font,gap_actual,left_width,right_width,left_height,right_height,left_min_x,left_max_x,left_min_y,left_max_y,right_min_x,right_max_x,right_min_y,right_max_y,left_index,right_index,avg_width,font_size_est,gap_norm,gap_norm_left,gap_norm_right,text_total_width,text_length,pair_key
13205790,Ｋ,Ａ,MaruGothic,MaruGothic,8.514933940999981,21.71999945699997,25.474666029800005,28.429332622600015,29.274665934799998,306.36986679570003,328.0898662527,69.4448006337,97.87413325630001,336.6048001937,362.0794662235,68.9572001266,98.2318660614,6,7,23.59733274339999,33.94352856317648,0.36084306788365944,0.3920319592022719,0.33425105283183293,246.4882661319,8,Ｋ|Ａ|MaruGothic
13205790,早,坂,Brush,Brush,31.860933155300017,93.49866432919998,94.2506643104,73.04533150720002,72.7439981814,461.7468006944,555.2454650236,47.313200696900005,120.35853220410002,587.1063981789,681.3570624893,45.9744009368,118.71839911820001,0,1,93.87466431979999,85.75842922858826,0.33939863738697734,0.3407635112638687,0.3380446534612314,219.6102617949,2,早|坂|Brush
13205790,早,坂,Brush,Brush,31.860933155300017,93.49866432919998,94.2506643104,73.04533150720002,72.7439981814,461.7468006944,555.2454650236,47.313200696900005,120.35853220410002,587.1063981789,681.3570624893,45.9744009368,118.71839911820001,0,1,93.87466431979999,85.75842922858826,0.33939863738697734,0.3407635112638687,0.3380446534612314,219.6102617949,2,早|坂|Brush
13205790,Ｈ,Ａ,MaruGothic,MaruGothic,9.158003991899989,22.25866611020001,25.474666029799977,28.389332623599998,29.274665934799998,115.5912000916,137.8498662018,69.5025340478,97.8918666714,147.0078701937,172.48253622349998,68.9572001266,98.2318660614,0,1,23.866666069999994,33.919999151999995,0.3837152606501437,0.4114354358235035,0.3594945653531653,246.4882661319,8,Ｈ|Ａ|MaruGothic
13205790,Ａ,Ｙ,MaruGothic,MaruGothic,4.330797154800024,25.474666029799977,25.658666025200006,29.274665934799998,28.8493326121,147.0078701937,172.48253622349998,68.9572001266,98.2318660614,176.8133333783,202.4719994035,69.2021337827,98.0514663948,1,2,25.56666602749999,34.19058738052941,0.1693923310196854,0.17000407972901024,0.16878496920091798,246.4882661319,8,Ａ|Ｙ|MaruGothic
13205790,Ｙ,Ａ,MaruGothic,MaruGothic,2.625070790199999,25.658666025200006,25.474666029799977,28.8493326121,29.274665934799998,176.8133333783,202.4719994035,69.2021337827,98.0514663948,205.0970701937,230.57173622349998,68.9572001266,98.2318660614,2,3,25.56666602749999,34.19058738052941,0.1026755223921814,0.10230737590262301,0.10304632795300321,246.4882661319,8,Ｙ|Ａ|MaruGothic
13205790,Ａ,Ｓ,MaruGothic,MaruGothic,7.63653404110002,25.474666029799977,26.157332679399985,29.274665934799998,29.479999262999996,205.0970701937,230.57173622349998,68.9572001266,98.2318660614,238.2082702646,264.365602944,68.8351996811,98.31519894409999,3,4,25.81599935459998,34.56156776341176,0.2958062531768431,0.2997697411289667,0.29194620623967965,246.4882661319,8,Ａ|Ｓ|MaruGothic
13205790,Ｓ,Ａ,MaruGothic,MaruGothic,6.88906724970002,26.157332679399985,25.474666029800005,29.479999262999996,29.274665934799998,238.2082702646,264.365602944,68.8351996811,98.31519894409999,271.2546701937,296.7293362235,68.9572001266,98.2318660614,4,5,25.815999354599995,34.56156776341176,0.26685262712762264,0.2633704030199323,0.2704281674052668,246.4882661319,8,Ｓ|Ａ|MaruGothic
13205790,Ａ,Ｋ,MaruGothic,MaruGothic,9.64053057220002,25.474666029800005,21.71999945699997,29.274665934799998,28.429332622600015,271.2546701937,296.7293362235,68.9572001266,98.2318660614,306.36986679570003,328.0898662527,69.4448006337,97.87413325630001,5,6,23.59733274339999,33.94352856317648,0.4085432314334937,0.3784359944472923,0.44385500981645043,246.4882661319,8,Ａ|Ｋ|MaruGothic
13205790,Ｋ,Ａ,MaruGothic,MaruGothic,8.514933940999981,21.71999945699997,25.474666029800005,28.429332622600015,29.274665934799998,306.36986679570003,328.0898662527,69.4448006337,97.87413325630001,336.6048001937,362.0794662235,68.9572001266,98.2318660614,6,7,23.59733274339999,33.94352856317648,0.36084306788365944,0.3920319592022719,0.33425105283183293,246.4882661319,8,Ｋ|Ａ|MaruGothic
